YEAR,COUNTY,# of Deaths,# of Cases
2016,Alameda,1622,34012
2016,Amador,38,790
2016,Butte,394,10032
2016,Calaveras,10,310
2016,Colusa,2,14
2016,Contra Costa,1058,21362
2016,Del Norte,24,642
2016,El Dorado,80,1946
2016,Fresno,1452,28240
2016,Glenn,0,64
2016,Humboldt,160,3288
2016,Imperial,118,3168
2016,Inyo,24,220
2016,Kern,970,19686
2016,Kings,116,3126
2016,Lake,14,872
2016,Lassen,2,148
2016,Los Angeles,11330,243612
2016,Madera,34,824
2016,Marin,264,5566
2016,Mariposa,4,66
2016,Mendocino,68,1586
2016,Merced,114,3996
2016,Modoc,2,44
2016,Mono,0,54
2016,Monterey,448,8196
2016,Napa,218,4142
2016,Nevada,70,1906
2016,Orange,3184,67652
2016,Placer,624,13248
2016,Plumas,10,248
2016,Riverside,2302,52324
2016,Sacramento,2486,43360
2016,San Benito,44,596
2016,San Bernardino,2222,48570
2016,San Diego,3882,73304
2016,San Francisco,1422,25014
2016,San Joaquin,770,16976
2016,San Luis Obispo,228,5698
2016,San Mateo,822,14210
2016,Santa Barbara,552,9596
2016,Santa Clara,2262,41024
2016,Santa Cruz,130,4754
2016,Shasta,478,8398
2016,Siskiyou,30,820
2016,Solano,500,10284
2016,Sonoma,530,9796
2016,Stanislaus,842,17580
2016,Tehama,42,782
2016,Trinity,2,132
2016,Tulare,608,11434
2016,Tuolumne,90,1420
2016,Ventura,918,17998
2016,Yolo,76,1610
2016,Yuba,222,4910
2017,Alameda,1852,35220
2017,Amador,32,846
2017,Butte,376,10160
2017,Calaveras,6,336
2017,Contra Costa,1004,22200
2017,Del Norte,54,722
2017,El Dorado,66,2230
2017,Fresno,1550,27872
2017,Glenn,0,36
2017,Humboldt,146,3316
2017,Imperial,84,2866
2017,Inyo,16,244
2017,Kern,956,20804
2017,Kings,112,3022
2017,Lake,10,752
2017,Lassen,8,140
2017,Los Angeles,10764,247860
2017,Madera,28,876
2017,Marin,258,5600
2017,Mariposa,2,78
2017,Mendocino,94,1570
2017,Merced,50,4028
2017,Modoc,2,80
2017,Mono,0,58
2017,Monterey,424,8572
2017,Napa,242,4406
2017,Nevada,64,1778
2017,Orange,3302,68004
2017,Placer,600,14516
2017,Plumas,6,188
2017,Riverside,2236,52226
2017,Sacramento,2588,45338
2017,San Benito,40,558
2017,San Bernardino,2210,50636
2017,San Diego,3480,74682
2017,San Francisco,1516,25962
2017,San Joaquin,598,17644
2017,San Luis Obispo,230,5510
2017,San Mateo,780,15610
2017,Santa Barbara,588,9900
2017,Santa Clara,2298,43784
2017,Santa Cruz,182,5226
2017,Shasta,508,8042
2017,Siskiyou,28,732
2017,Solano,544,10286
2017,Sonoma,384,10096
2017,Stanislaus,796,18290
2017,Tehama,30,684
2017,Trinity,2,140
2017,Tulare,620,11666
2017,Tuolumne,64,1172
2017,Ventura,892,18192
2017,Yolo,52,1646
2017,Yuba,214,4410
2018,Alameda,1732,35724
2018,Amador,48,1002
2018,Butte,478,10656
2018,Calaveras,12,280
2018,Colusa,0,174
2018,Contra Costa,1088,22838
2018,Del Norte,22,596
2018,El Dorado,78,2088
2018,Fresno,1354,27812
2018,Glenn,2,72
2018,Humboldt,152,3372
2018,Imperial,150,3394
2018,Inyo,12,254
2018,Kern,978,21030
2018,Kings,116,2862
2018,Lake,12,922
2018,Lassen,6,166
2018,Los Angeles,11670,255422
2018,Madera,20,892
2018,Marin,192,5474
2018,Mariposa,2,90
2018,Mendocino,66,1574
2018,Merced,102,4632
2018,Modoc,4,60
2018,Mono,0,82
2018,Monterey,402,9286
2018,Napa,198,4386
2018,Nevada,68,1984
2018,Orange,3562,69982
2018,Placer,520,14986
2018,Plumas,2,194
2018,Riverside,2464,55346
2018,Sacramento,2596,46542
2018,San Benito,28,494
2018,San Bernardino,2162,52734
2018,San Diego,3870,78438
2018,San Francisco,1682,26646
2018,San Joaquin,752,19400
2018,San Luis Obispo,246,6056
2018,San Mateo,828,15464
2018,Santa Barbara,560,9708
2018,Santa Clara,2012,43572
2018,Santa Cruz,164,4860
2018,Shasta,528,8120
2018,Siskiyou,28,740
2018,Solano,576,10572
2018,Sonoma,508,10344
2018,Stanislaus,876,18722
2018,Tehama,20,834
2018,Trinity,2,132
2018,Tulare,554,11432
2018,Tuolumne,46,1280
2018,Ventura,774,18052
2018,Yolo,46,1562
2018,Yuba,232,4868
2019,Alameda,1838,37000
2019,Amador,28,786
2019,Butte,422,9964
2019,Calaveras,6,318
2019,Colusa,8,286
2019,Contra Costa,1018,22948
2019,Del Norte,44,802
2019,El Dorado,64,2126
2019,Fresno,1488,28222
2019,Glenn,2,64
2019,Humboldt,168,3280
2019,Imperial,118,3330
2019,Inyo,12,248
2019,Kern,926,21560
2019,Kings,98,2972
2019,Lake,22,1004
2019,Lassen,18,210
2019,Los Angeles,11586,259784
2019,Madera,18,824
2019,Marin,244,5690
2019,Mariposa,2,130
2019,Mendocino,52,1578
2019,Merced,88,4264
2019,Modoc,4,74
2019,Mono,0,62
2019,Monterey,476,10166
2019,Napa,184,3854
2019,Nevada,48,1852
2019,Orange,3442,70790
2019,Placer,500,15048
2019,Plumas,6,176
2019,Riverside,2346,58230
2019,Sacramento,2612,47820
2019,San Benito,16,478
2019,San Bernardino,2430,54724
2019,San Diego,3818,78836
2019,San Francisco,1410,23906
2019,San Joaquin,636,20510
2019,San Luis Obispo,260,5922
2019,San Mateo,822,15296
2019,Santa Barbara,586,10218
2019,Santa Clara,2016,44032
2019,Santa Cruz,200,4930
2019,Shasta,442,8828
2019,Siskiyou,22,824
2019,Solano,510,10736
2019,Sonoma,564,11050
2019,Stanislaus,894,19316
2019,Tehama,40,930
2019,Trinity,4,86
2019,Tulare,574,12102
2019,Tuolumne,62,1420
2019,Ventura,858,18770
2019,Yolo,50,1610
2019,Yuba,234,4908
2020,Alameda,1874,36214
2020,Amador,30,794
2020,Butte,534,11778
2020,Calaveras,8,402
2020,Colusa,8,228
2020,Contra Costa,1218,23428
2020,Del Norte,32,538
2020,El Dorado,66,2196
2020,Fresno,1506,27416
2020,Glenn,0,26
2020,Humboldt,122,3304
2020,Imperial,170,2712
2020,Inyo,6,260
2020,Kern,1096,21580
2020,Kings,150,2928
2020,Lake,20,960
2020,Lassen,8,208
2020,Los Angeles,13858,248110
2020,Madera,34,998
2020,Marin,268,5516
2020,Mariposa,2,142
2020,Mendocino,56,1868
2020,Merced,138,4306
2020,Modoc,2,88
2020,Mono,2,78
2020,Monterey,528,9826
2020,Napa,146,3082
2020,Nevada,62,1910
2020,Orange,3714,70610
2020,Placer,692,16334
2020,Plumas,0,150
2020,Riverside,2740,56880
2020,Sacramento,2576,46520
2020,San Benito,20,374
2020,San Bernardino,2754,52318
2020,San Diego,3978,76278
2020,San Francisco,1474,24418
2020,San Joaquin,814,20208
2020,San Luis Obispo,292,6022
2020,San Mateo,898,14536
2020,Santa Barbara,612,9904
2020,Santa Clara,2020,43302
2020,Santa Cruz,192,4662
2020,Shasta,646,9244
2020,Siskiyou,26,748
2020,Solano,650,11028
2020,Sonoma,616,11064
2020,Stanislaus,1146,19946
2020,Tehama,36,988
2020,Trinity,4,44
2020,Tulare,568,11166
2020,Tuolumne,94,1596
2020,Ventura,804,19416
2020,Yolo,68,1656
2020,Yuba,186,4942
2021,Alameda,946,18047
2021,Amador,8,411
2021,Butte,269,5595
2021,Calaveras,6,161
2021,Colusa,6,78
2021,Contra Costa,705,12221
2021,Del Norte,21,312
2021,El Dorado,34,1036
2021,Fresno,777,13604
2021,Glenn,1,24
2021,Humboldt,102,1520
2021,Imperial,97,1373
2021,Inyo,4,100
2021,Kern,548,10231
2021,Kings,81,1304
2021,Lake,8,402
2021,Lassen,8,100
2021,Los Angeles,6911,124656
2021,Madera,27,444
2021,Marin,134,2872
2021,Mariposa,1,75
2021,Mendocino,24,792
2021,Merced,55,2023
2021,Modoc,2,28
2021,Mono,2,37
2021,Monterey,235,4739
2021,Napa,118,1872
2021,Nevada,30,949
2021,Orange,1946,35444
2021,Placer,347,8256
2021,Plumas,5,78
2021,Riverside,1382,28344
2021,Sacramento,1395,23991
2021,San Benito,13,215
2021,San Bernardino,1503,25926
2021,San Diego,1981,39328
2021,San Francisco,721,12883
2021,San Joaquin,432,10190
2021,San Luis Obispo,146,2857
2021,San Mateo,502,7870
2021,Santa Barbara,265,4827
2021,Santa Clara,1116,22897
2021,Santa Cruz,106,2497
2021,Shasta,322,4044
2021,Siskiyou,17,332
2021,Solano,303,5153
2021,Sonoma,286,5564
2021,Stanislaus,613,10167
2021,Tehama,22,534
2021,Trinity,2,21
2021,Tulare,318,5467
2021,Tuolumne,39,707
2021,Ventura,461,9544
2021,Yolo,30,902
2021,Yuba,118,2645
2022,Alameda,1103,19792
2022,Amador,14,491
2022,Butte,286,6056
2022,Calaveras,8,177
2022,Colusa,6,84
2022,Contra Costa,754,12571
2022,Del Norte,33,398
2022,El Dorado,52,1203
2022,Fresno,999,15702
2022,Glenn,1,46
2022,Humboldt,104,1832
2022,Imperial,107,1463
2022,Inyo,5,101
2022,Kern,649,11160
2022,Kings,67,1476
2022,Lake,14,479
2022,Lassen,15,135
2022,Los Angeles,8319,138388
2022,Madera,32,489
2022,Marin,113,2897
2022,Mariposa,1,44
2022,Mendocino,38,908
2022,Merced,88,2338
2022,Modoc,4,35
2022,Mono,1,33
2022,Monterey,236,5361
2022,Napa,109,2195
2022,Nevada,38,959
2022,Orange,2208,39934
2022,Placer,417,9186
2022,Plumas,4,44
2022,Riverside,1737,32476
2022,Sacramento,1588,26055
2022,San Benito,14,291
2022,San Bernardino,1864,29690
2022,San Diego,1916,36206
